"","chromosome","start","end","Adult_MO1","Adult_MO2","Adult_MO3","Adult_MO4","Adult_MO5"
"49","chr1",1826399,1830133,506,803,372,956,269
"50","chr1",1832176,1836703,904,1798,699,2270,536
"51","chr1",1838098,1843799,1146,2400,1146,2702,997
"52","chr1",1844332,1845090,83,196,55,173,53
"53","chr1",1845693,1849952,725,1701,542,1812,482
"54","chr1",1851693,1854938,598,1163,462,1401,451
"55","chr1",1855765,1863942,1498,2712,1019,3586,1036
"56","chr1",1888500,1892530,442,707,277,809,223
"57","chr1",1906004,1906639,75,117,43,192,45
"58","chr1",2072968,2076804,770,1102,658,1415,578
"59","chr1",2083122,2083762,37,118,54,132,66
"60","chr1",2084345,2092365,1758,2430,1564,3191,1654
"61","chr1",2098072,2100403,302,702,157,562,227
"62","chr1",2103285,2103763,74,81,20,109,32
"63","chr1",2115884,2116394,61,88,51,65,46
"64","chr1",2124482,2128053,442,815,442,945,293
"65","chr1",2132159,2136000,819,1557,390,1538,458
"66","chr1",2157870,2158868,131,311,136,330,111
"67","chr1",2189276,2190767,270,374,204,617,220
"68","chr1",2194134,2195343,117,220,132,298,110
"69","chr1",2227387,2227699,89,76,56,102,56
"70","chr1",2228926,2232632,826,820,504,1433,400
"71","chr1",2237675,2238490,76,179,76,194,69
"72","chr1",2248392,2249727,125,192,120,334,75
"73","chr1",2256206,2258253,299,416,302,591,248
"74","chr1",2290507,2291307,81,111,85,105,30
"75","chr1",2391349,2392336,102,111,86,195,45
"76","chr1",2414062,2414757,59,160,54,132,42
"77","chr1",2425371,2427170,316,768,374,512,343
"78","chr1",2441117,2461894,5954,10211,6443,9535,4481
"79","chr1",2493358,2494064,79,84,81,115,40
"80","chr1",2525999,2527731,278,252,180,453,140
"81","chr1",2543651,2545314,181,205,164,359,79
"82","chr1",2548262,2549442,258,387,320,468,173
"83","chr1",2585043,2587007,317,419,276,729,267
"84","chr1",2914689,2915239,58,116,70,86,62
"85","chr1",2948420,2953247,516,1259,677,1189,576
"86","chr1",2965908,2971568,2223,3674,2716,3664,2286
"87","chr1",2981480,2985919,1274,2296,1610,2572,1170
"88","chr1",2987056,2988980,415,732,359,686,348
"89","chr1",3003719,3004250,67,72,58,66,21
"90","chr1",3011646,3013024,280,505,301,432,293
"91","chr1",3029597,3032775,770,1681,867,963,556
"92","chr1",3170812,3171621,60,79,30,93,29
"93","chr1",3215208,3222090,400,641,230,621,274
"94","chr1",3303984,3304993,80,121,56,221,60
"95","chr1",3326748,3330097,56,124,36,119,63
"96","chr1",3350360,3351220,120,128,87,329,35
"97","chr1",3360583,3361348,32,34,21,77,19
"98","chr1",3365959,3367072,197,201,111,459,75
"99","chr1",3409504,3410547,70,45,57,108,63
"100","chr1",3438116,3445768,1574,2884,2019,2966,1797
"101","chr1",3456441,3460186,432,994,619,1097,549
"102","chr1",3575887,3576460,35,62,12,24,34
"103","chr1",3624275,3626066,145,70,75,269,111
"104","chr1",3711772,3717202,2284,2993,2080,3796,1040
"105","chr1",3731342,3732215,142,243,95,459,117
"106","chr1",3739917,3741320,178,189,108,386,152
"107","chr1",3745652,3747717,347,624,307,794,272
"108","chr1",3772874,3776665,437,1121,468,1098,534
"109","chr1",3796123,3797350,160,238,123,278,128
"110","chr1",3827286,3828685,160,244,136,765,240
"111","chr1",3834352,3835399,164,401,103,481,180
"112","chr1",3856542,3858944,315,481,274,643,273
"113","chr1",3862356,3864835,438,1015,423,1039,545
"114","chr1",3880623,3881437,43,140,49,140,68
"115","chr1",3890463,3891246,77,197,63,178,102
"116","chr1",3899730,3901688,745,1162,607,1131,565
"117","chr1",4265474,4266310,75,164,75,197,63
"118","chr1",4655322,4663664,1916,2950,2530,3721,2328
"119","chr1",4668874,4669340,26,108,54,101,60
"120","chr1",4670655,4670977,26,45,65,78,41
"121","chr1",4673199,4675470,330,593,477,598,379
"122","chr1",4678024,4687857,2957,4208,3620,5640,3536
"123","chr1",4699104,4701841,198,357,455,504,389
"124","chr1",4708384,4709967,109,250,264,235,157
"125","chr1",4713148,4714301,47,146,153,125,99
"126","chr1",4752008,4752944,52,170,97,99,132
"127","chr1",5199953,5200486,71,115,43,81,61
"128","chr1",5222661,5223927,176,452,194,360,174
"129","chr1",5296255,5298488,733,639,260,941,240
"130","chr1",5407965,5409089,192,184,130,283,101
"131","chr1",5477631,5478310,75,184,90,161,73
"132","chr1",5915172,5916101,147,270,111,192,95
"133","chr1",5928672,5929613,152,368,175,249,138
"134","chr1",5934680,5935683,114,241,112,153,89
"135","chr1",5936154,5937090,104,330,90,156,101
"136","chr1",5973482,5974168,170,229,111,241,101
"137","chr1",5992027,5992898,35,65,54,108,42
"138","chr1",6199245,6200219,140,188,128,228,93
"139","chr1",6276223,6276767,56,62,69,87,40
"140","chr1",6291238,6292554,111,256,151,175,105
"141","chr1",6384278,6386018,258,495,343,553,376
"142","chr1",6387490,6388093,61,96,71,98,63
"143","chr1",6392219,6394589,584,889,632,934,454
"144","chr1",6541280,6542530,139,263,156,381,106
"145","chr1",6554175,6554963,140,133,88,191,74
"146","chr1",6577723,6578521,84,76,70,212,60
"147","chr1",6579550,6580836,142,194,90,280,131
"148","chr1",6586868,6587925,180,302,158,423,133
"149","chr1",6596408,6596996,89,117,59,191,47
"150","chr1",6599687,6604827,1505,2236,1176,3553,1141
"151","chr1",6612473,6614588,387,446,296,767,284
"152","chr1",6624614,6626049,354,610,314,611,263
"153","chr1",6701326,6702160,100,190,80,157,29
"154","chr1",6784186,6785561,204,249,160,363,94
"155","chr1",6868737,6871215,202,542,361,363,205
"156","chr1",7477650,7479891,480,1087,606,817,486
"157","chr1",7667489,7670334,446,647,511,1046,390
"158","chr1",7679153,7681215,280,306,217,395,221
"159","chr1",7702009,7703127,130,238,100,329,96
"160","chr1",7704355,7706504,293,360,221,666,176
"161","chr1",7725815,7729388,475,548,529,767,274
"162","chr1",7752264,7754974,314,386,364,577,261
"163","chr1",7758516,7761362,384,502,460,709,278
"164","chr1",7770672,7772066,242,378,176,505,233
"165","chr1",7782092,7785347,519,745,410,842,296
"166","chr1",7953611,7954769,229,422,229,458,227
"167","chr1",7960935,7962465,266,490,232,482,219
"168","chr1",8003649,8005371,260,453,230,517,234
"169","chr1",8014485,8020387,1062,2021,986,2344,1093
"170","chr1",8020771,8027354,920,1908,696,1880,811
"171","chr1",8137621,8138101,73,91,48,79,17
"172","chr1",8317736,8318586,71,118,76,134,35
"173","chr1",8350022,8352363,266,516,282,685,149
"174","chr1",8353782,8354406,139,186,89,254,91
"175","chr1",8363296,8364534,114,197,138,257,101
"176","chr1",8368932,8369276,30,64,46,143,32
"177","chr1",8370203,8374299,573,1045,542,1363,429
"178","chr1",8378317,8379877,146,300,131,363,130
"179","chr1",8381796,8385667,677,1018,529,1424,469
"180","chr1",8386319,8388243,129,354,127,355,161
"181","chr1",8395813,8398388,378,688,268,936,258
"182","chr1",8407971,8409844,187,349,179,481,110
"183","chr1",8421877,8425133,424,812,380,780,207
"184","chr1",8427509,8428759,186,372,131,380,106
"185","chr1",8437100,8442178,934,1604,810,1642,602
"186","chr1",8448927,8450085,197,308,152,371,104
"187","chr1",8455647,8457370,271,388,182,690,164
"188","chr1",8457819,8461149,408,579,284,969,230
"189","chr1",8461595,8467591,937,1656,856,2163,733
"190","chr1",8475977,8478122,264,386,187,535,145
"191","chr1",8486895,8487747,63,216,81,197,54
"192","chr1",8492893,8497974,504,1174,511,1374,414
"193","chr1",8502828,8504325,132,320,164,509,144
"194","chr1",8506166,8508978,349,710,269,880,261
"195","chr1",8509689,8511917,309,727,381,790,246
"196","chr1",8513472,8521769,2032,3511,1774,4556,1515
"197","chr1",8523084,8529134,1174,2491,1143,2991,893
"198","chr1",8534486,8535822,181,332,125,368,100
"199","chr1",8547160,8549138,201,364,154,453,116
"200","chr1",8549262,8554129,939,1969,806,2140,582
"201","chr1",8555388,8555923,62,174,36,146,32
"202","chr1",8559586,8564191,547,1098,517,1310,356
"203","chr1",8567017,8568552,137,253,114,334,91
"204","chr1",8570469,8572828,264,586,260,748,186
"205","chr1",8577838,8581634,338,982,296,945,258
"206","chr1",8582664,8583619,85,152,64,221,52
"207","chr1",8584524,8586073,100,263,140,251,74
"208","chr1",8586478,8588469,199,349,174,503,134
"209","chr1",8589650,8592648,206,314,241,445,138
"210","chr1",8595803,8600660,1107,1856,1109,2151,742
"211","chr1",8601713,8604527,205,419,265,540,189
"212","chr1",8611637,8614688,359,645,259,836,206
"213","chr1",8614746,8616851,128,218,122,362,89
"214","chr1",8618440,8635873,4464,7411,4041,8454,3524
"215","chr1",8636427,8637768,133,208,113,255,95
"216","chr1",8639087,8642476,405,917,467,1121,347
"217","chr1",8646650,8648154,171,331,173,409,101
"218","chr1",8648692,8649582,165,228,138,284,76
"219","chr1",8651033,8653147,397,871,497,911,250
"220","chr1",8659116,8662301,524,908,426,1099,334
"221","chr1",8662811,8667113,584,1066,550,1272,383
"222","chr1",8667894,8668763,121,152,76,177,45
"223","chr1",8669284,8671838,388,559,354,670,218
"224","chr1",8678971,8683499,776,1571,668,1591,460
"225","chr1",8686668,8688114,239,569,279,771,196
"226","chr1",8695741,8696417,108,145,91,188,37
"227","chr1",8697079,8705739,2156,2833,1610,3818,1441
"228","chr1",8706462,8707938,157,425,150,525,117
"229","chr1",8717922,8719599,124,261,97,276,82
"230","chr1",8726173,8727156,131,232,116,269,59
"231","chr1",8727841,8728862,126,205,114,273,94
"232","chr1",8738043,8742756,359,1081,389,733,390
"233","chr1",8753604,8755878,193,408,151,396,112
"234","chr1",8768203,8769198,142,270,107,280,88
"235","chr1",8781692,8782462,84,146,55,142,42
"236","chr1",8804371,8804792,38,109,57,90,31
"237","chr1",8810498,8819034,2930,4058,2306,6353,2581
"238","chr1",8836089,8836695,96,235,111,231,86
"239","chr1",8847362,8849566,385,673,267,808,302
"240","chr1",8863495,8864171,93,142,88,175,83
"241","chr1",8874794,8876312,325,544,229,740,200
"242","chr1",8878020,8880314,399,810,325,887,250
"243","chr1",8918066,8918797,82,104,107,151,90
"244","chr1",8937704,8945964,2020,3302,2158,4484,1717
"245","chr1",8951315,8951688,47,121,53,81,34
"246","chr1",8986047,8986548,58,96,41,89,43
"247","chr1",8987472,8988387,149,318,210,356,206
"248","chr1",9234182,9235569,199,340,232,391,182
"249","chr1",9242109,9243216,113,319,115,189,157
"250","chr1",9247713,9248585,148,239,68,175,82
"251","chr1",9289849,9291052,212,360,185,596,132
"252","chr1",9291615,9295626,486,826,401,1352,491
"253","chr1",9310875,9311601,85,142,73,166,65
"254","chr1",9322587,9325289,516,805,484,914,557
"255","chr1",9326419,9326975,61,111,66,142,59
"256","chr1",9339765,9340694,57,221,107,154,86
"257","chr1",9344287,9346486,273,517,232,420,168
"258","chr1",9351754,9352804,101,203,99,250,127
"259","chr1",9360888,9366605,933,1951,808,2010,897
"260","chr1",9371372,9372205,85,205,65,212,98
"261","chr1",9375564,9376673,218,310,186,408,178
"262","chr1",9383842,9390590,2460,2963,2264,4900,2530
"263","chr1",9396933,9397235,21,70,47,84,45
"264","chr1",9397524,9402484,1148,1377,967,2489,926
"265","chr1",9404624,9405028,64,111,42,160,40
"266","chr1",9428375,9429989,240,518,222,452,234
"267","chr1",9437386,9439894,683,1018,444,1412,621
"268","chr1",9440640,9442651,230,438,172,729,191
"269","chr1",9443901,9444433,78,110,39,141,44
"270","chr1",9472940,9473527,85,92,62,149,35
"271","chr1",9532434,9533508,309,470,284,546,184
"272","chr1",9537917,9540405,355,725,295,620,289
"273","chr1",9588345,9588892,66,80,22,157,55
"274","chr1",9591474,9592311,126,185,90,234,57
"275","chr1",9593675,9594148,64,80,74,105,41
"276","chr1",9755471,9755921,49,86,37,117,27
"277","chr1",9758517,9760137,359,526,203,711,153
"278","chr1",9766633,9767710,200,299,123,424,83
"279","chr1",9793288,9794058,84,136,82,138,60
"280","chr1",9822695,9827065,704,1257,477,1460,408
"281","chr1",9838853,9840647,222,415,203,403,160
"282","chr1",9875115,9875817,63,136,92,193,78
"283","chr1",9876859,9877843,133,253,148,260,128
"284","chr1",9883401,9885145,220,422,229,419,154
"285","chr1",9885956,9886481,52,71,43,105,46
"286","chr1",9899803,9902668,596,1068,606,1284,458
"287","chr1",9903169,9905158,208,586,222,549,206
"288","chr1",9908897,9911378,468,718,319,872,378
"289","chr1",9926165,9927979,161,420,162,407,139
"290","chr1",9928558,9931184,762,1380,751,1833,753
"291","chr1",9942315,9943957,230,392,208,471,226
"292","chr1",9948969,9951905,770,1272,599,1811,503
"293","chr1",9952313,9952518,43,58,29,98,51
"294","chr1",9982260,9982919,81,160,60,229,76
"295","chr1",9983344,9986695,1338,2157,1014,2643,894
"296","chr1",9996419,9998351,295,510,292,654,176
"297","chr1",10000267,10003872,623,854,681,1331,419
"298","chr1",10015587,10016243,85,146,89,193,80
"299","chr1",10032163,10034895,589,878,526,1279,532
"300","chr1",10041945,10042734,62,124,63,171,52
"301","chr1",10044563,10049740,774,1579,699,2166,483
"302","chr1",10050275,10053013,390,876,394,1213,362
"303","chr1",10053655,10061903,1672,2709,1180,4383,844
"304","chr1",10063185,10078914,4200,5853,3141,10383,2650
"305","chr1",10079588,10080553,82,144,78,256,63
"306","chr1",10082228,10085966,700,1444,597,2124,406
"307","chr1",10098287,10098832,64,132,71,186,49
"308","chr1",10101302,10103267,163,360,142,535,114
"309","chr1",10104020,10118597,3441,5128,2780,7735,2225
"310","chr1",10119157,10120014,105,166,89,157,78
"311","chr1",10121465,10136414,4225,6492,3892,9383,3827
"312","chr1",10137132,10137713,68,101,61,162,65
"313","chr1",10140026,10147101,1345,2212,1374,3123,1177
"314","chr1",10148860,10150605,229,367,206,666,178
"315","chr1",10151197,10153691,483,807,443,1146,416
"316","chr1",10154743,10155762,124,300,100,297,126
"317","chr1",10159169,10163397,973,1872,980,2646,936
"318","chr1",10164406,10165293,82,149,81,148,60
"319","chr1",10177589,10181617,1095,1841,970,2600,818
"320","chr1",10182354,10182729,59,116,43,183,42
"321","chr1",10209629,10214730,1387,1840,1170,3176,1067
"322","chr1",10215454,10219055,483,861,455,1294,331
"323","chr1",10224010,10226567,195,496,246,543,136
"324","chr1",10231842,10232651,99,189,74,265,55
"325","chr1",10236803,10237502,71,99,86,162,38
"326","chr1",10250450,10251476,125,187,96,219,46
"327","chr1",10251858,10254443,226,466,257,640,230
"328","chr1",10257138,10259086,258,531,236,745,194
"329","chr1",10265881,10266600,70,148,73,199,72
"330","chr1",10271165,10272711,189,222,130,385,117
"331","chr1",10280573,10281253,72,147,59,203,59
"332","chr1",10282918,10283902,92,188,77,216,63
"333","chr1",10284859,10289464,715,1049,539,1536,468
"334","chr1",10291903,10293333,243,417,225,618,196
"335","chr1",10293672,10301182,1823,2613,1390,3425,1711
"336","chr1",10301221,10302764,126,267,137,375,121
"337","chr1",10305361,10306653,150,263,112,416,84
"338","chr1",10307333,10312383,668,1059,534,1579,467
"339","chr1",10318002,10318532,51,128,58,121,46
"340","chr1",10319741,10320589,89,135,87,260,62
"341","chr1",10323140,10332120,1041,2140,981,3215,893
"342","chr1",10332871,10334787,132,239,146,366,189
"343","chr1",10335263,10336030,71,105,75,154,58
"344","chr1",10336451,10346154,2721,3399,2413,5656,2505
"345","chr1",10346754,10349128,208,473,250,594,217
"346","chr1",10350590,10355541,767,1374,708,1773,544
"347","chr1",10357679,10360407,241,666,312,898,301
"348","chr1",10373064,10375414,554,785,431,1530,318
"349","chr1",10376176,10381966,739,1150,601,1779,491
"350","chr1",10385273,10385970,88,102,73,214,59
"351","chr1",10386406,10389331,500,733,364,926,274
"352","chr1",10398278,10399596,154,208,110,268,126
"353","chr1",10430079,10430907,99,99,73,128,42
"354","chr1",10472232,10473002,88,100,67,183,110
"355","chr1",10474695,10475668,168,259,150,267,144
"356","chr1",10494595,10495580,92,127,89,246,81
"357","chr1",10620725,10621102,65,80,59,92,39
"358","chr1",10778189,10780455,421,340,122,542,130
"359","chr1",10978627,10982438,793,1438,668,1457,869
"360","chr1",10997950,10998680,42,133,12,81,60
"361","chr1",11011835,11013477,396,715,332,629,296
"362","chr1",11068561,11069989,136,306,203,357,162
"363","chr1",11098025,11100396,255,390,238,430,222
"364","chr1",11104984,11113109,557,1354,634,1526,692
"365","chr1",11121523,11122265,40,106,39,107,72
"366","chr1",11134051,11135167,43,128,61,112,66
"367","chr1",11151685,11152604,16,46,28,56,25
"368","chr1",11157628,11158490,36,60,50,66,41
"369","chr1",11186252,11188848,176,231,178,340,126
"370","chr1",11198177,11200100,394,419,218,687,213
"371","chr1",11211728,11216861,648,755,441,1039,423
"372","chr1",11262061,11263128,172,237,133,340,172
"373","chr1",11267571,11270356,503,793,304,1380,361
"374","chr1",11272555,11274038,338,451,239,618,249
"375","chr1",11301513,11302254,108,122,92,196,66
"376","chr1",11414901,11415327,43,75,58,92,47
"377","chr1",11458278,11459923,376,798,356,738,416
"378","chr1",11462013,11463042,99,243,107,286,103
"379","chr1",11645647,11649349,883,1830,1270,1622,1001
"380","chr1",11652542,11653391,73,165,74,150,78
"381","chr1",11680635,11682270,290,454,221,608,217
"382","chr1",11689721,11689972,45,78,18,93,59
"383","chr1",11701347,11702052,97,113,82,173,38
"384","chr1",11729246,11734734,1586,2049,1445,2241,1251
"385","chr1",11735325,11736979,138,196,134,404,164
"386","chr1",11805173,11807238,340,528,375,683,396
"387","chr1",11907934,11911139,1019,1689,873,2509,833
"388","chr1",11918865,11921515,464,1019,332,1481,340
"389","chr1",11926010,11928646,464,611,298,1175,383
"390","chr1",11929628,11930338,100,166,69,305,78
"391","chr1",11930730,11931623,69,162,71,292,114
"392","chr1",11933957,11935504,315,513,300,554,222
"393","chr1",11937087,11940025,460,870,246,986,262
"394","chr1",11940507,11941367,184,277,140,321,163
"395","chr1",11951874,11953624,565,912,390,1184,448
"396","chr1",11956950,11957652,80,206,80,248,71
"397","chr1",11959675,11962242,717,980,577,1550,540
"398","chr1",11979447,11980951,524,742,383,989,449
"399","chr1",12019061,12020121,151,224,86,236,84
"400","chr1",12230033,12231550,175,281,164,342,124
"401","chr1",12336330,12336914,48,108,54,86,38
"402","chr1",12406388,12407214,59,158,72,115,60
"403","chr1",12450266,12450955,101,164,118,164,80
"404","chr1",12677543,12678734,138,267,119,328,162
"405","chr1",12689487,12690877,226,503,226,411,274
"406","chr1",12697099,12697594,12,66,43,46,26
"407","chr1",13549007,13550967,164,355,194,318,166
"408","chr1",13699728,13701947,372,806,392,675,256
"409","chr1",13748696,13765826,1976,3745,1891,4686,1720
"410","chr1",13771156,13772645,107,148,97,182,60
"411","chr1",13774991,13776317,87,137,93,180,61
"412","chr1",13778992,13785272,286,545,376,779,313
"413","chr1",13786346,13787207,86,155,97,238,66
"414","chr1",13788745,13791367,223,444,182,373,143
"415","chr1",14017395,14018144,63,211,105,104,50
"416","chr1",14113687,14114748,130,110,109,298,105
"417","chr1",14253482,14254790,158,340,171,456,203
"418","chr1",14255198,14257219,289,397,170,570,226
"419","chr1",14257659,14262797,2099,2102,1366,4121,1454
"420","chr1",14310373,14310982,104,184,120,187,50
"421","chr1",14365660,14366850,182,277,103,365,119
"422","chr1",14411514,14412710,118,230,135,311,143
"423","chr1",14413637,14414566,224,387,193,470,239
"424","chr1",14491384,14492354,166,292,115,441,81
"425","chr1",14511395,14512033,57,120,85,173,56
"426","chr1",14612614,14615147,336,600,182,1283,329
"427","chr1",14625208,14629361,1151,1613,839,2573,1023
"428","chr1",14650788,14651763,156,283,118,452,138
"429","chr1",14690015,14690569,60,100,81,176,69
"430","chr1",14756423,14757175,58,113,92,168,97
"431","chr1",14922872,14925706,386,743,306,1028,325
"432","chr1",14934658,14938181,664,983,373,1524,398
"433","chr1",14939664,14940876,128,239,87,354,119
"434","chr1",14941328,14948308,2694,3523,2138,5426,1905
"435","chr1",14949904,14951382,261,536,259,885,232
"436","chr1",14961920,14962585,78,153,82,200,72
"437","chr1",14967990,14969296,252,486,202,614,282
"438","chr1",14978024,14978496,46,148,54,119,48
"439","chr1",14988197,14988799,77,145,67,154,62
"440","chr1",15027496,15029773,422,559,344,956,408
"441","chr1",15034313,15034889,63,131,43,133,104
"442","chr1",15035926,15038072,250,522,259,592,238
"443","chr1",15039358,15047082,2141,3077,1849,4272,2129
"444","chr1",15087739,15088890,190,300,274,314,110
"445","chr1",15179376,15180939,111,139,102,169,89
"446","chr1",15384122,15384773,98,152,112,131,58
"447","chr1",15412612,15413231,52,122,63,88,30
"448","chr1",15488987,15489700,147,237,129,259,77
"449","chr1",15523607,15527461,779,1187,548,1407,611
"450","chr1",15542584,15548450,613,1821,556,515,246
"451","chr1",15549860,15552268,324,782,283,193,75
"452","chr1",15566995,15569131,170,387,152,171,58
"453","chr1",15573684,15575608,299,491,282,458,156
"454","chr1",15603210,15603960,132,145,119,166,78
"455","chr1",15616649,15618999,261,583,230,598,213
"456","chr1",15622189,15623229,74,134,46,163,36
"457","chr1",15624473,15630876,895,2162,923,1948,893
"458","chr1",15633588,15634446,112,191,82,134,74
"459","chr1",15682652,15686009,237,756,245,497,160
"460","chr1",15696727,15697560,164,341,95,259,81
"461","chr1",15711854,15715934,550,709,577,1013,354
"462","chr1",15755698,15756731,40,150,40,68,40
"463","chr1",15815367,15816046,84,102,51,178,80
"464","chr1",15832668,15836653,1858,2141,1575,3074,1454
"465","chr1",15843606,15844352,143,171,78,349,80
"466","chr1",15846843,15852913,1420,1810,1204,2931,1031
"467","chr1",15860741,15861431,76,86,38,147,28
"468","chr1",15862153,15863827,174,255,112,511,92
"469","chr1",15865692,15868307,509,801,290,1269,166
"470","chr1",15869676,15871596,280,491,171,851,120
"471","chr1",15874178,15874941,94,160,58,224,38
"472","chr1",15875791,15876953,125,194,82,394,59
"473","chr1",15882811,15883634,143,179,105,241,62
"474","chr1",15884450,15888233,1172,1268,703,2192,793
"475","chr1",15892526,15894491,371,489,179,840,202
"476","chr1",15900121,15901785,215,347,140,639,138
"477","chr1",15902370,15903456,107,191,76,328,48
"478","chr1",15936872,15942513,775,1326,739,1750,686
"479","chr1",15947783,15953048,1056,1890,960,2957,945
"480","chr1",15953482,15954635,167,218,94,381,124
"481","chr1",15956146,15956631,53,119,37,185,46
"482","chr1",15957204,15976655,4630,6685,3643,10671,4093
"483","chr1",16017905,16018382,99,112,67,83,27
"484","chr1",16061594,16064888,329,941,235,298,155
"485","chr1",16210040,16210588,100,146,46,135,40
"486","chr1",16217748,16218742,99,368,110,373,60
"487","chr1",16248292,16249303,145,298,143,307,113
"488","chr1",16351336,16352907,269,510,254,547,185
"489","chr1",16366637,16368075,479,809,374,846,452
"490","chr1",16385611,16387262,231,560,190,506,147
"491","chr1",16440285,16441373,116,234,136,262,100
"492","chr1",16498046,16499860,343,475,305,663,246
"493","chr1",16511707,16515047,530,883,563,1304,454
"494","chr1",16527662,16529006,467,575,230,1018,88
"495","chr1",16578773,16579556,17,71,52,109,28
"496","chr1",16584428,16586307,110,270,278,482,98
"497","chr1",16602670,16603921,70,94,90,226,28
"498","chr1",16604693,16608341,343,395,435,859,280
"499","chr1",16612138,16614093,581,522,756,1350,338
"500","chr1",16617000,16619124,502,597,545,1752,351
"501","chr1",16619739,16621732,507,575,548,984,378
"502","chr1",16632915,16634596,777,709,666,2223,242
"503","chr1",16643036,16645502,882,1024,1012,1749,582
"504","chr1",16710696,16710995,20,64,42,74,52
"505","chr1",16712207,16713774,70,187,70,232,116
"506","chr1",16765808,16766005,48,44,48,81,14
"507","chr1",16796277,16797352,248,274,174,574,78
"508","chr1",16872697,16873273,66,137,78,164,42
"509","chr1",16888557,16890088,348,569,216,525,209
"510","chr1",16894779,16898802,627,970,965,1517,717
"511","chr1",16902983,16908009,1776,2451,1411,3740,2016
"512","chr1",16911706,16916417,1162,1668,892,2218,1186
"513","chr1",16966933,16967634,92,134,81,212,75
"514","chr1",17011659,17012195,78,69,62,97,36
"515","chr1",17023049,17024577,133,354,178,359,171
"516","chr1",17045721,17046633,80,177,70,231,67
"517","chr1",17052976,17054541,208,423,120,461,153
"518","chr1",17059631,17060815,214,246,158,673,194
"519","chr1",17063515,17064440,229,301,165,511,28
"520","chr1",17066045,17068980,412,744,390,1172,304
"521","chr1",17071521,17071988,37,75,39,81,34
"522","chr1",17080390,17120383,10478,16373,10390,23707,8443
"523","chr1",17436526,17440208,572,650,515,1126,441
"524","chr1",17538236,17538632,77,99,58,123,37
"525","chr1",18117948,18118841,236,211,174,280,68
"526","chr1",18230548,18231598,145,259,207,257,149
"527","chr1",18902079,18903233,207,231,112,332,83
"528","chr1",18907193,18907665,50,113,83,98,54
"529","chr1",18921819,18924220,423,545,475,611,247
"530","chr1",18938313,18946335,2796,3955,2442,4742,2764
"531","chr1",18946996,18947966,165,190,107,243,98
"532","chr1",18948738,18951975,522,873,491,927,437
"533","chr1",18955754,18957503,153,188,110,241,104
"534","chr1",18996972,18998872,292,744,339,428,478
"535","chr1",19066918,19067492,74,123,68,124,50
"536","chr1",19073497,19074085,49,126,57,137,50
"537","chr1",19153504,19153673,37,48,33,56,14
"538","chr1",19209250,19211475,249,564,208,597,171
"539","chr1",19229064,19229939,121,265,82,298,104
"540","chr1",19231625,19233613,296,620,274,672,344
"541","chr1",19251211,19251795,206,315,206,354,150
