"","chromosome","start","end","Infant_OPC1","Infant_OPC2","Infant_OPC3","Infant_OPC4","Infant_OPC5"
"455","chr1",11497588,11501236,1148,1509,1994,2515,1068
"456","chr1",11563396,11564045,98,95,171,188,115
"457","chr1",11646911,11649349,426,711,1094,1341,565
"458","chr1",11653659,11655745,95,242,241,410,125
"459","chr1",11663860,11665181,126,258,289,385,226
"460","chr1",11680628,11682158,158,216,159,360,133
"461","chr1",11700672,11702232,439,590,435,870,427
"462","chr1",11719376,11719936,52,169,132,204,110
"463","chr1",11729468,11737398,1132,2436,2218,3348,1238
"464","chr1",11781044,11782429,156,291,229,366,140
"465","chr1",11784168,11785285,50,110,122,121,59
"466","chr1",11804659,11806912,287,409,443,849,223
"467","chr1",11879929,11882111,514,700,718,863,345
"468","chr1",11907763,11910133,1229,1471,1574,2407,1058
"469","chr1",11918706,11921447,144,413,304,485,125
"470","chr1",11925963,11926878,83,155,144,238,66
"471","chr1",11927803,11928613,52,176,146,259,110
"472","chr1",11929599,11930400,140,236,207,307,127
"473","chr1",11934120,11935400,102,276,201,384,129
"474","chr1",11938515,11939557,27,163,71,91,28
"475","chr1",11940342,11941216,56,176,183,208,55
"476","chr1",11960378,11961904,113,91,96,69,66
"477","chr1",11979478,11981025,297,359,529,954,237
"478","chr1",12019061,12019985,84,72,131,222,85
"479","chr1",12034083,12034903,122,117,225,270,110
"480","chr1",12053121,12053719,68,75,103,119,62
"481","chr1",12112427,12113765,211,252,260,263,139
"482","chr1",12230053,12231386,138,184,202,318,141
"483","chr1",12279898,12280398,75,53,125,83,45
"484","chr1",12316025,12316785,65,72,209,249,74
"485","chr1",12320501,12321089,78,62,100,117,94
"486","chr1",12336233,12337139,140,119,308,288,127
"487","chr1",12505267,12506481,142,188,270,293,130
"488","chr1",12677595,12678456,38,111,134,164,74
"489","chr1",12689889,12690732,172,149,229,310,124
"490","chr1",13443434,13443925,71,58,53,104,34
"491","chr1",13529127,13530738,255,432,474,541,267
"492","chr1",13540262,13542615,304,458,898,926,348
"493","chr1",13543399,13544814,112,251,492,430,149
"494","chr1",13548958,13551129,275,466,770,1084,322
"495","chr1",13576705,13578204,132,242,348,426,162
"496","chr1",13581346,13582122,25,74,129,237,52
"497","chr1",13582571,13586733,508,934,2285,2693,927
"498","chr1",13593080,13594314,28,103,191,162,58
"499","chr1",13600859,13601566,47,52,147,186,62
"500","chr1",13616213,13617129,99,112,276,271,94
"501","chr1",13642225,13642925,36,78,147,159,86
"502","chr1",13699806,13701581,349,434,473,671,341
"503","chr1",13726159,13727358,42,210,132,108,42
"504","chr1",13748654,13750241,320,386,355,611,224
"505","chr1",13762492,13763004,68,15,44,57,26
"506","chr1",13873299,13873978,134,78,147,115,79
"507","chr1",14017413,14017968,84,56,133,117,66
"508","chr1",14112771,14115136,103,318,437,537,148
"509","chr1",14129071,14129729,30,57,88,122,35
"510","chr1",14139892,14141706,166,216,397,362,153
"511","chr1",14165103,14166302,151,187,319,357,101
"512","chr1",14179248,14185587,996,1000,1879,2520,890
"513","chr1",14248533,14250070,36,116,205,332,76
"514","chr1",14251078,14257232,925,2038,2628,3460,1059
"515","chr1",14258010,14264673,848,2418,2371,3255,874
"516","chr1",14282289,14282909,26,56,110,140,37
"517","chr1",14284652,14285687,47,156,257,256,93
"518","chr1",14310153,14311241,93,118,140,223,75
"519","chr1",14320223,14323033,542,715,862,968,413
"520","chr1",14323267,14323874,29,79,82,81,25
"521","chr1",14360765,14361845,90,206,220,300,135
"522","chr1",14364946,14369795,592,1036,1319,1614,574
"523","chr1",14371301,14372500,136,167,293,352,131
"524","chr1",14400362,14401211,76,92,150,230,102
"525","chr1",14411337,14416594,788,1144,1722,2285,781
"526","chr1",14436943,14438020,51,102,217,224,107
"527","chr1",14486653,14487225,88,66,133,190,92
"528","chr1",14518863,14519602,56,91,137,185,75
"529","chr1",14556431,14557323,107,142,193,231,90
"530","chr1",14571330,14573998,459,732,1050,1511,468
"531","chr1",14597890,14603884,877,1768,1812,2825,796
"532","chr1",14613076,14615042,102,141,187,224,90
"533","chr1",14620770,14621554,69,66,133,190,77
"534","chr1",14624187,14632444,1198,1765,2628,3428,1136
"535","chr1",14633696,14635509,91,168,249,319,122
"536","chr1",14647318,14652307,625,555,1035,1356,557
"537","chr1",14655004,14655816,46,46,74,112,59
"538","chr1",14659616,14661480,125,206,439,550,153
"539","chr1",14662051,14662768,43,95,113,158,49
"540","chr1",14665241,14669348,276,395,574,788,236
"541","chr1",14670549,14672845,229,247,548,697,255
"542","chr1",14687943,14688735,50,90,118,139,59
"543","chr1",14689414,14690948,162,217,439,515,160
"544","chr1",14699461,14701420,202,290,470,575,243
"545","chr1",14707599,14709132,87,150,231,342,124
