"","chromosome","start","end","Infant_MO1","Infant_MO2","Infant_MO3","Infant_MO4","Infant_MO5"
"55","chr1",1855765,1863942,1940,2039,1924,2894,1443
"56","chr1",1888500,1892530,709,483,430,1097,478
"57","chr1",1906004,1906639,43,54,62,137,32
"58","chr1",2072968,2076804,800,882,849,2132,799
"59","chr1",2083122,2083762,69,70,49,110,76
"60","chr1",2084345,2092365,2203,2261,2316,4339,1927
"61","chr1",2098072,2100403,293,197,299,695,313
"62","chr1",2103285,2103763,88,45,40,80,54
"63","chr1",2115884,2116394,82,37,42,103,59
"64","chr1",2124482,2128053,784,487,518,945,608
"65","chr1",2132159,2136000,433,534,675,1596,539
"66","chr1",2157870,2158868,136,111,167,315,131
"67","chr1",2189276,2190767,125,236,216,522,131
"68","chr1",2194134,2195343,52,141,102,354,101
"69","chr1",2227387,2227699,55,91,48,166,61
"70","chr1",2228926,2232632,380,599,738,1214,446
"71","chr1",2237675,2238490,101,75,99,197,88
"72","chr1",2248392,2249727,208,145,174,343,162
"73","chr1",2256206,2258253,305,397,465,784,276
"74","chr1",2290507,2291307,133,166,107,260,84
"75","chr1",2391349,2392336,143,125,87,358,150
"76","chr1",2414062,2414757,31,54,90,137,52
"77","chr1",2425371,2427170,647,391,642,1579,758
"78","chr1",2441117,2461894,9862,5311,9518,18439,9866
"79","chr1",2493358,2494064,73,54,64,213,73
"80","chr1",2525999,2527731,198,348,184,618,277
"81","chr1",2543651,2545314,228,109,150,399,178
"82","chr1",2548262,2549442,65,124,195,271,114
"83","chr1",2585043,2587007,171,320,303,611,273
"84","chr1",2914689,2915239,84,78,67,165,99
"85","chr1",2948420,2953247,321,763,669,1218,399
"86","chr1",2965908,2971568,2575,3527,3476,5914,3352
"87","chr1",2981480,2985919,1049,1492,1798,2751,1315
"88","chr1",2987056,2988980,544,475,488,1022,476
"89","chr1",3003719,3004250,125,81,68,134,106
"90","chr1",3011646,3013024,288,400,398,903,332
"91","chr1",3029597,3032775,768,800,682,1527,613
"92","chr1",3170812,3171621,171,70,64,212,94
"93","chr1",3215208,3222090,2008,786,668,1949,1134
"94","chr1",3303984,3304993,365,122,177,309,240
"95","chr1",3326748,3330097,938,80,115,262,266
"96","chr1",3350360,3351220,170,116,138,213,120
"97","chr1",3360583,3361348,156,82,41,154,103
"98","chr1",3365959,3367072,280,307,228,373,222
"99","chr1",3409504,3410547,123,34,70,149,38
"100","chr1",3438116,3445768,1877,2444,2987,6430,2465
"101","chr1",3456441,3460186,454,568,730,1327,500
"102","chr1",3575887,3576460,171,40,18,100,109
"103","chr1",3624275,3626066,103,121,140,563,129
"104","chr1",3711772,3717202,503,849,2271,3243,1534
"105","chr1",3731342,3732215,60,88,117,240,71
"106","chr1",3739917,3741320,208,123,105,184,101
"107","chr1",3745652,3747717,475,392,409,1096,409
"108","chr1",3772874,3776665,709,389,474,818,410
"109","chr1",3796123,3797350,199,213,204,541,204
"110","chr1",3827286,3828685,310,224,428,664,297
"111","chr1",3834352,3835399,222,196,238,196,172
"112","chr1",3856542,3858944,306,347,337,835,329
"113","chr1",3862356,3864835,556,378,776,1192,456
"114","chr1",3880623,3881437,233,117,61,140,127
"115","chr1",3890463,3891246,94,71,119,182,90
"116","chr1",3899730,3901688,946,1028,934,1745,955
"117","chr1",4265474,4266310,16,55,140,275,47
"118","chr1",4655322,4663664,222,1192,1740,2873,452
"119","chr1",4668874,4669340,19,29,42,67,14
"120","chr1",4670655,4670977,13,23,27,46,1
"121","chr1",4673199,4675470,62,280,431,681,165
"122","chr1",4678024,4687857,1470,3040,3852,5731,2096
"123","chr1",4699104,4701841,98,178,313,437,100
"124","chr1",4708384,4709967,52,108,96,217,40
"125","chr1",4713148,4714301,50,66,55,167,27
"126","chr1",4752008,4752944,81,89,161,304,71
"127","chr1",5199953,5200486,58,55,80,175,68
"128","chr1",5222661,5223927,166,168,213,435,153
"129","chr1",5296255,5298488,133,318,184,290,189
"130","chr1",5407965,5409089,176,150,170,244,115
"131","chr1",5477631,5478310,61,60,172,241,73
"132","chr1",5915172,5916101,106,77,100,126,60
"133","chr1",5928672,5929613,148,112,224,290,154
"134","chr1",5934680,5935683,30,81,91,150,68
"135","chr1",5936154,5937090,45,58,79,103,57
"136","chr1",5973482,5974168,64,84,103,168,60
"137","chr1",5992027,5992898,61,65,45,212,84
"138","chr1",6199245,6200219,176,172,187,380,144
"139","chr1",6276223,6276767,87,68,61,133,60
"140","chr1",6291238,6292554,158,135,210,357,198
"141","chr1",6384278,6386018,180,328,486,1173,285
"142","chr1",6387490,6388093,74,84,61,258,99
"143","chr1",6392219,6394589,577,767,661,1623,653
"144","chr1",6541280,6542530,285,129,206,281,115
"145","chr1",6554175,6554963,92,136,110,287,121
"146","chr1",6577723,6578521,187,144,128,215,73
"147","chr1",6579550,6580836,71,150,126,375,84
"148","chr1",6586868,6587925,149,126,157,147,59
"149","chr1",6596408,6596996,55,40,68,90,45
"150","chr1",6599687,6604827,1066,1364,1485,3148,1241
"151","chr1",6612473,6614588,316,457,332,1068,346
"152","chr1",6624614,6626049,278,317,295,655,316
"153","chr1",6701326,6702160,72,103,88,264,102
"154","chr1",6784186,6785561,278,226,149,590,274
"155","chr1",6868737,6871215,115,170,408,543,162
"156","chr1",7477650,7479891,272,206,597,1236,314
"157","chr1",7667489,7670334,252,685,364,845,345
"158","chr1",7679153,7681215,173,250,108,342,188
"159","chr1",7702009,7703127,57,69,79,114,81
"160","chr1",7704355,7706504,178,281,219,611,229
"161","chr1",7725815,7729388,591,526,603,747,450
"162","chr1",7752264,7754974,224,360,384,516,241
"163","chr1",7758516,7761362,319,456,408,501,316
"164","chr1",7770672,7772066,177,232,238,722,209
"165","chr1",7782092,7785347,262,319,483,865,354
"166","chr1",7953611,7954769,253,302,292,757,299
"167","chr1",7960935,7962465,294,398,385,821,362
"168","chr1",8003649,8005371,214,209,338,538,200
"169","chr1",8014485,8020387,652,1163,1706,3083,877
"170","chr1",8020771,8027354,924,977,1189,2315,783
"171","chr1",8137621,8138101,73,55,34,106,44
"172","chr1",8317736,8318586,49,84,65,206,67
"173","chr1",8350022,8352363,313,263,293,356,248
"174","chr1",8353782,8354406,90,96,84,130,62
"175","chr1",8363296,8364534,91,113,153,159,75
"176","chr1",8368932,8369276,88,47,49,84,52
"177","chr1",8370203,8374299,507,579,603,1013,494
"178","chr1",8378317,8379877,151,137,143,202,84
"179","chr1",8381796,8385667,542,623,776,1070,439
"180","chr1",8386319,8388243,184,168,187,278,126
"181","chr1",8395813,8398388,396,370,426,555,307
"182","chr1",8407971,8409844,186,157,196,341,156
"183","chr1",8421877,8425133,255,389,326,670,251
"184","chr1",8427509,8428759,112,122,127,148,70
"185","chr1",8437100,8442178,940,737,1079,1776,831
"186","chr1",8448927,8450085,210,174,181,243,154
"187","chr1",8455647,8457370,269,161,209,285,164
"188","chr1",8457819,8461149,343,280,453,770,311
"189","chr1",8461595,8467591,789,917,1027,1677,659
"190","chr1",8475977,8478122,295,203,184,341,199
"191","chr1",8486895,8487747,67,88,108,127,78
"192","chr1",8492893,8497974,652,588,608,949,446
"193","chr1",8502828,8504325,163,131,222,223,98
"194","chr1",8506166,8508978,431,337,380,609,281
"195","chr1",8509689,8511917,341,306,402,592,320
"196","chr1",8513472,8521769,1907,1996,2459,3709,1764
"197","chr1",8523084,8529134,1310,1411,1758,2647,1236
"198","chr1",8534486,8535822,204,186,224,342,154
"199","chr1",8547160,8549138,251,185,204,367,190
"200","chr1",8549262,8554129,1393,932,1103,1863,989
"201","chr1",8555388,8555923,72,44,39,123,69
"202","chr1",8559586,8564191,622,696,777,1140,625
"203","chr1",8567017,8568552,272,165,179,218,186
"204","chr1",8570469,8572828,447,392,427,641,311
"205","chr1",8577838,8581634,741,492,563,889,611
"206","chr1",8582664,8583619,105,130,108,162,105
"207","chr1",8584524,8586073,137,121,168,191,98
"208","chr1",8586478,8588469,269,223,275,388,195
"209","chr1",8589650,8592648,500,285,291,446,277
"210","chr1",8595803,8600660,1074,1210,1490,2286,987
"211","chr1",8601713,8604527,360,339,346,503,270
"212","chr1",8611637,8614688,532,407,515,780,425
"213","chr1",8614746,8616851,204,217,224,405,195
"214","chr1",8618440,8635873,5382,5424,7262,10651,4999
"215","chr1",8636427,8637768,91,141,134,232,106
"216","chr1",8639087,8642476,526,507,726,1083,493
"217","chr1",8646650,8648154,273,247,254,377,183
"218","chr1",8648692,8649582,139,111,150,290,132
"219","chr1",8651033,8653147,429,421,615,946,428
"220","chr1",8659116,8662301,414,537,628,962,477
"221","chr1",8662811,8667113,537,512,629,952,450
"222","chr1",8667894,8668763,97,96,101,156,72
"223","chr1",8669284,8671838,302,358,451,738,320
"224","chr1",8678971,8683499,907,960,1136,2104,977
"225","chr1",8686668,8688114,324,322,352,653,254
"226","chr1",8695741,8696417,128,86,122,150,69
"227","chr1",8697079,8705739,1701,2003,2781,4151,1736
"228","chr1",8706462,8707938,127,221,260,306,140
"229","chr1",8717922,8719599,90,216,168,222,68
"230","chr1",8726173,8727156,100,125,115,230,90
"231","chr1",8727841,8728862,131,164,170,305,131
"232","chr1",8738043,8742756,892,577,1080,1446,832
"233","chr1",8753604,8755878,359,309,348,617,348
"234","chr1",8768203,8769198,149,141,208,248,144
"235","chr1",8781692,8782462,59,63,66,128,58
"236","chr1",8804371,8804792,60,68,41,88,41
"237","chr1",8810498,8819034,2288,3061,3863,6513,2509
"238","chr1",8836089,8836695,104,120,132,195,88
"239","chr1",8847362,8849566,315,295,340,647,300
"240","chr1",8863495,8864171,52,66,71,92,54
"241","chr1",8874794,8876312,222,267,327,426,216
"242","chr1",8878020,8880314,439,596,384,819,443
"243","chr1",8918066,8918797,107,127,124,270,92
"244","chr1",8937704,8945964,2775,2228,2914,3823,2143
"245","chr1",8951315,8951688,63,34,86,61,51
"246","chr1",8986047,8986548,91,84,66,135,94
"247","chr1",8987472,8988387,214,210,315,426,155
"248","chr1",9234182,9235569,120,187,204,517,177
"249","chr1",9242109,9243216,162,121,207,350,101
"250","chr1",9247713,9248585,45,72,95,231,47
"251","chr1",9289849,9291052,74,139,193,327,103
"252","chr1",9291615,9295626,481,483,674,1381,459
"253","chr1",9310875,9311601,99,65,103,144,62
"254","chr1",9322587,9325289,499,550,670,1254,424
"255","chr1",9326419,9326975,29,64,51,106,26
"256","chr1",9339765,9340694,86,89,121,211,74
"257","chr1",9344287,9346486,188,202,227,459,174
"258","chr1",9351754,9352804,218,163,161,332,125
"259","chr1",9360888,9366605,470,757,945,1680,544
"260","chr1",9371372,9372205,88,79,71,179,59
"261","chr1",9375564,9376673,159,194,266,373,207
"262","chr1",9383842,9390590,2085,2867,3325,5803,2288
"263","chr1",9396933,9397235,12,6,30,65,21
"264","chr1",9397524,9402484,393,765,1010,1578,584
"265","chr1",9404624,9405028,13,31,58,92,18
"266","chr1",9428375,9429989,154,286,318,806,208
"267","chr1",9437386,9439894,254,683,592,849,296
"268","chr1",9440640,9442651,50,173,173,336,104
"269","chr1",9443901,9444433,20,47,37,81,32
"270","chr1",9472940,9473527,65,79,42,65,52
"271","chr1",9532434,9533508,399,333,446,697,448
"272","chr1",9537917,9540405,542,393,468,822,464
"273","chr1",9588345,9588892,31,61,55,145,44
"274","chr1",9591474,9592311,97,91,62,160,35
"275","chr1",9593675,9594148,25,31,49,56,28
"276","chr1",9755471,9755921,74,45,34,60,37
"277","chr1",9758517,9760137,345,251,226,450,244
"278","chr1",9766633,9767710,279,122,130,254,147
"279","chr1",9793288,9794058,138,94,140,165,126
"280","chr1",9822695,9827065,344,436,539,1079,326
"281","chr1",9838853,9840647,245,175,271,364,169
"282","chr1",9875115,9875817,46,64,65,155,42
"283","chr1",9876859,9877843,152,121,166,347,80
"284","chr1",9883401,9885145,123,135,152,325,147
"285","chr1",9885956,9886481,128,76,75,119,78
"286","chr1",9899803,9902668,414,545,561,1034,440
"287","chr1",9903169,9905158,167,177,287,366,128
"288","chr1",9908897,9911378,164,486,485,977,320
"289","chr1",9926165,9927979,161,213,224,446,150
"290","chr1",9928558,9931184,613,1033,1510,2193,835
"291","chr1",9942315,9943957,188,292,340,843,240
"292","chr1",9948969,9951905,466,591,828,1534,621
"293","chr1",9952313,9952518,29,26,33,68,28
"294","chr1",9982260,9982919,36,51,84,108,44
"295","chr1",9983344,9986695,845,1092,1398,1996,886
"296","chr1",9996419,9998351,54,164,155,346,64
"297","chr1",10000267,10003872,266,366,560,978,333
"298","chr1",10015587,10016243,21,24,48,74,7
"299","chr1",10032163,10034895,424,709,765,1600,544
"300","chr1",10041945,10042734,81,64,53,95,42
"301","chr1",10044563,10049740,466,718,851,1128,432
"302","chr1",10050275,10053013,274,456,526,648,275
"303","chr1",10053655,10061903,721,983,1101,1843,766
"304","chr1",10063185,10078914,2349,4200,3602,5688,2537
"305","chr1",10079588,10080553,47,86,77,124,51
"306","chr1",10082228,10085966,430,687,717,1071,504
"307","chr1",10098287,10098832,36,66,88,133,59
"308","chr1",10101302,10103267,97,170,167,271,82
"309","chr1",10104020,10118597,1630,3012,3357,4451,1940
"310","chr1",10119157,10120014,61,73,85,122,64
"311","chr1",10121465,10136414,2875,4716,5797,9063,3482
"312","chr1",10137132,10137713,35,64,54,125,68
"313","chr1",10140026,10147101,1098,1522,1927,2798,1142
"314","chr1",10148860,10150605,102,243,237,395,172
"315","chr1",10151197,10153691,239,399,551,877,351
"316","chr1",10154743,10155762,70,96,166,167,60
"317","chr1",10159169,10163397,885,1081,1241,1882,791
"318","chr1",10164406,10165293,20,37,57,119,19
"319","chr1",10177589,10181617,1314,1250,1646,2477,1155
"320","chr1",10182354,10182729,56,71,48,91,40
"321","chr1",10209629,10214730,1224,1671,1700,3134,1313
"322","chr1",10215454,10219055,447,425,506,749,351
"323","chr1",10224010,10226567,399,229,283,408,196
"324","chr1",10231842,10232651,129,107,107,137,69
"325","chr1",10236803,10237502,110,99,92,171,64
"326","chr1",10250450,10251476,170,136,108,191,124
"327","chr1",10251858,10254443,391,253,310,420,290
"328","chr1",10257138,10259086,219,277,364,528,242
"329","chr1",10265881,10266600,84,96,89,137,61
"330","chr1",10271165,10272711,162,163,193,354,126
"331","chr1",10280573,10281253,58,78,75,116,33
"332","chr1",10282918,10283902,72,100,96,134,50
"333","chr1",10284859,10289464,569,695,814,1234,497
"334","chr1",10291903,10293333,164,211,307,589,166
"335","chr1",10293672,10301182,1265,1668,2520,4245,1261
"336","chr1",10301221,10302764,197,118,173,332,128
"337","chr1",10305361,10306653,155,148,143,252,118
"338","chr1",10307333,10312383,549,662,858,1222,508
"339","chr1",10318002,10318532,70,52,64,123,52
"340","chr1",10319741,10320589,101,88,151,166,76
"341","chr1",10323140,10332120,1354,1199,1503,2286,1026
"342","chr1",10332871,10334787,208,168,173,329,147
"343","chr1",10335263,10336030,68,60,56,115,75
"344","chr1",10336451,10346154,2474,3180,3881,6559,2536
"345","chr1",10346754,10349128,309,305,345,538,249
"346","chr1",10350590,10355541,815,857,962,1508,701
"347","chr1",10357679,10360407,432,285,546,579,332
"348","chr1",10373064,10375414,562,613,551,751,410
"349","chr1",10376176,10381966,771,797,746,1214,529
"350","chr1",10385273,10385970,138,104,100,168,84
"351","chr1",10386406,10389331,519,435,543,826,369
"352","chr1",10398278,10399596,123,190,143,453,120
"353","chr1",10430079,10430907,40,101,57,192,50
"354","chr1",10472232,10473002,74,115,153,252,81
"355","chr1",10474695,10475668,124,173,228,342,168
"356","chr1",10494595,10495580,110,88,138,237,79
"357","chr1",10620725,10621102,68,42,71,58,53
"358","chr1",10778189,10780455,20,38,40,76,18
"359","chr1",10978627,10982438,740,1177,1383,3201,1214
"360","chr1",10997950,10998680,97,52,96,240,116
"361","chr1",11011835,11013477,469,538,447,1198,518
"362","chr1",11068561,11069989,417,202,210,533,245
"363","chr1",11098025,11100396,677,461,393,851,420
"364","chr1",11104984,11113109,2165,1133,1538,3140,1450
"365","chr1",11121523,11122265,156,130,139,205,88
"366","chr1",11134051,11135167,194,97,114,231,93
"367","chr1",11151685,11152604,158,89,55,174,98
"368","chr1",11157628,11158490,111,97,78,165,80
"369","chr1",11186252,11188848,489,444,346,758,343
"370","chr1",11198177,11200100,430,416,464,922,382
"371","chr1",11211728,11216861,836,765,776,1491,621
"372","chr1",11262061,11263128,102,173,222,535,158
"373","chr1",11267571,11270356,229,354,470,763,272
"374","chr1",11272555,11274038,166,315,327,652,247
"375","chr1",11301513,11302254,107,67,172,260,116
"376","chr1",11414901,11415327,60,41,80,89,35
"377","chr1",11458278,11459923,276,274,658,1098,443
"378","chr1",11462013,11463042,70,62,164,209,104
"379","chr1",11645647,11649349,537,1103,1337,2499,894
"380","chr1",11652542,11653391,22,69,46,58,15
"381","chr1",11680635,11682270,92,239,186,420,175
"382","chr1",11689721,11689972,5,21,56,71,30
"383","chr1",11701347,11702052,72,60,69,136,79
"384","chr1",11729246,11734734,1483,2034,1716,2682,1497
"385","chr1",11735325,11736979,131,234,217,502,109
"386","chr1",11805173,11807238,453,393,509,912,432
"387","chr1",11907934,11911139,945,1242,1106,2495,1017
"388","chr1",11918865,11921515,314,454,322,661,256
"389","chr1",11926010,11928646,436,538,546,1126,467
"390","chr1",11929628,11930338,51,109,86,139,79
"391","chr1",11930730,11931623,43,77,82,117,58
"392","chr1",11933957,11935504,125,361,206,521,158
"393","chr1",11937087,11940025,250,425,188,401,164
"394","chr1",11940507,11941367,100,192,122,276,106
"395","chr1",11951874,11953624,259,419,501,521,350
"396","chr1",11956950,11957652,52,54,44,97,44
"397","chr1",11959675,11962242,548,803,725,1201,566
"398","chr1",11979447,11980951,280,423,492,1028,420
"399","chr1",12019061,12020121,75,112,120,297,94
"400","chr1",12230033,12231550,154,202,210,449,212
"401","chr1",12336330,12336914,127,52,74,93,41
"402","chr1",12406388,12407214,102,72,140,153,81
"403","chr1",12450266,12450955,114,123,151,206,107
"404","chr1",12677543,12678734,104,92,195,231,105
"405","chr1",12689487,12690877,353,294,408,921,314
"406","chr1",12697099,12697594,45,52,93,176,70
"407","chr1",13549007,13550967,232,150,268,510,188
"408","chr1",13699728,13701947,410,463,455,825,419
"409","chr1",13748696,13765826,4445,3062,3465,6464,3420
"410","chr1",13771156,13772645,345,177,170,357,209
"411","chr1",13774991,13776317,246,94,113,207,131
"412","chr1",13778992,13785272,904,568,527,962,609
"413","chr1",13786346,13787207,205,87,113,247,105
"414","chr1",13788745,13791367,508,225,290,434,259
"415","chr1",14017395,14018144,149,108,136,227,125
"416","chr1",14113687,14114748,36,116,104,125,58
"417","chr1",14253482,14254790,75,176,228,399,124
"418","chr1",14255198,14257219,90,294,297,461,90
"419","chr1",14257659,14262797,742,1929,1741,2373,968
"420","chr1",14310373,14310982,134,94,137,165,134
"421","chr1",14365660,14366850,107,80,129,168,61
"422","chr1",14411514,14412710,25,92,134,183,30
"423","chr1",14413637,14414566,78,205,268,400,107
"424","chr1",14491384,14492354,124,125,132,94,52
"425","chr1",14511395,14512033,92,49,94,128,63
"426","chr1",14612614,14615147,111,108,155,182,104
"427","chr1",14625208,14629361,550,690,983,1532,629
"428","chr1",14650788,14651763,217,106,139,249,133
"429","chr1",14690015,14690569,81,75,75,111,55
"430","chr1",14756423,14757175,171,101,105,158,134
"431","chr1",14922872,14925706,66,280,267,555,146
"432","chr1",14934658,14938181,122,234,272,563,180
"433","chr1",14939664,14940876,24,61,73,117,38
"434","chr1",14941328,14948308,950,1908,2161,3656,1430
"435","chr1",14949904,14951382,102,198,225,385,127
"436","chr1",14961920,14962585,20,46,56,91,19
"437","chr1",14967990,14969296,100,190,297,420,124
"438","chr1",14978024,14978496,28,31,13,68,20
"439","chr1",14988197,14988799,35,49,34,94,22
"440","chr1",15027496,15029773,80,243,269,552,100
"441","chr1",15034313,15034889,16,56,59,96,29
"442","chr1",15035926,15038072,74,211,223,368,118
"443","chr1",15039358,15047082,1169,2210,2365,4198,1618
"444","chr1",15087739,15088890,64,91,210,143,62
"445","chr1",15179376,15180939,234,138,168,360,183
"446","chr1",15384122,15384773,43,72,92,140,45
"447","chr1",15412612,15413231,152,58,68,118,100
"448","chr1",15488987,15489700,154,125,115,245,164
"449","chr1",15523607,15527461,674,839,1012,2364,847
"450","chr1",15542584,15548450,875,1104,1564,2299,701
"451","chr1",15549860,15552268,218,333,488,875,238
"452","chr1",15566995,15569131,418,293,405,471,300
"453","chr1",15573684,15575608,296,384,470,576,229
"454","chr1",15603210,15603960,108,131,142,349,82
"455","chr1",15616649,15618999,280,395,366,795,272
"456","chr1",15622189,15623229,158,102,105,205,115
"457","chr1",15624473,15630876,1513,1585,1995,2869,1380
"458","chr1",15633588,15634446,146,138,84,185,88
"459","chr1",15682652,15686009,351,328,359,664,317
"460","chr1",15696727,15697560,224,131,189,250,142
"461","chr1",15711854,15715934,532,602,908,1072,448
"462","chr1",15755698,15756731,150,92,156,271,109
"463","chr1",15815367,15816046,44,70,116,201,56
"464","chr1",15832668,15836653,1468,2420,1819,3580,1502
"465","chr1",15843606,15844352,34,72,94,220,57
"466","chr1",15846843,15852913,1000,1654,1695,3497,1242
"467","chr1",15860741,15861431,41,32,36,75,36
"468","chr1",15862153,15863827,172,152,140,271,162
"469","chr1",15865692,15868307,322,287,377,752,287
"470","chr1",15869676,15871596,222,240,226,353,196
"471","chr1",15874178,15874941,44,67,101,117,52
"472","chr1",15875791,15876953,118,112,98,152,105
"473","chr1",15882811,15883634,69,67,134,147,60
"474","chr1",15884450,15888233,539,1243,1112,1828,673
"475","chr1",15892526,15894491,153,238,257,387,163
"476","chr1",15900121,15901785,170,139,192,313,98
"477","chr1",15902370,15903456,44,59,69,124,31
"478","chr1",15936872,15942513,440,725,751,1193,451
"479","chr1",15947783,15953048,359,839,1274,1766,549
"480","chr1",15953482,15954635,104,144,138,285,111
"481","chr1",15956146,15956631,61,53,82,104,38
"482","chr1",15957204,15976655,2812,5099,6031,10004,3864
"483","chr1",16017905,16018382,23,34,37,78,44
"484","chr1",16061594,16064888,200,447,608,368,174
"485","chr1",16210040,16210588,60,51,98,101,56
"486","chr1",16217748,16218742,42,49,95,72,31
"487","chr1",16248292,16249303,95,93,206,208,106
"488","chr1",16351336,16352907,295,306,309,741,321
"489","chr1",16366637,16368075,413,596,635,1070,528
"490","chr1",16385611,16387262,177,175,292,444,215
"491","chr1",16440285,16441373,140,166,136,381,130
"492","chr1",16498046,16499860,177,313,296,608,240
"493","chr1",16511707,16515047,757,672,634,1135,676
"494","chr1",16527662,16529006,187,306,350,429,231
"495","chr1",16578773,16579556,65,25,47,22,21
"496","chr1",16584428,16586307,852,391,421,380,520
"497","chr1",16602670,16603921,202,108,126,146,162
"498","chr1",16604693,16608341,1307,582,879,784,791
"499","chr1",16612138,16614093,1504,1108,1099,1577,1151
"500","chr1",16617000,16619124,1645,931,1284,1153,1547
"501","chr1",16619739,16621732,814,612,785,808,587
"502","chr1",16632915,16634596,718,765,1215,839,930
"503","chr1",16643036,16645502,1067,1441,1355,1449,1285
"504","chr1",16710696,16710995,88,74,98,128,46
"505","chr1",16712207,16713774,234,174,142,256,58
"506","chr1",16765808,16766005,24,28,28,48,12
"507","chr1",16796277,16797352,537,232,234,352,386
"508","chr1",16872697,16873273,34,76,74,98,28
"509","chr1",16888557,16890088,124,184,223,803,187
"510","chr1",16894779,16898802,718,877,1160,2390,654
"511","chr1",16902983,16908009,2759,1953,1888,5484,1108
"512","chr1",16911706,16916417,1052,1149,1079,3261,600
"513","chr1",16966933,16967634,43,35,76,69,40
"514","chr1",17011659,17012195,59,49,43,147,58
"515","chr1",17023049,17024577,381,149,230,262,153
"516","chr1",17045721,17046633,50,62,87,177,56
"517","chr1",17052976,17054541,163,211,216,505,142
"518","chr1",17059631,17060815,82,120,270,362,146
"519","chr1",17063515,17064440,288,109,120,289,174
"520","chr1",17066045,17068980,483,383,576,717,383
"521","chr1",17071521,17071988,63,55,77,99,30
"522","chr1",17080390,17120383,11610,11951,15193,22016,10234
"523","chr1",17436526,17440208,433,615,536,1572,514
"524","chr1",17538236,17538632,77,59,79,76,40
"525","chr1",18117948,18118841,212,200,132,272,149
"526","chr1",18230548,18231598,222,256,274,495,273
"527","chr1",18902079,18903233,132,195,108,392,132
"528","chr1",18907193,18907665,16,49,55,109,34
"529","chr1",18921819,18924220,109,127,178,366,112
"530","chr1",18938313,18946335,1292,2237,2947,4851,1889
"531","chr1",18946996,18947966,64,76,113,205,52
"532","chr1",18948738,18951975,192,297,441,667,189
"533","chr1",18955754,18957503,72,152,98,370,72
"534","chr1",18996972,18998872,437,466,700,1150,600
"535","chr1",19066918,19067492,58,94,96,184,75
"536","chr1",19073497,19074085,40,54,31,84,30
"537","chr1",19153504,19153673,25,8,27,30,11
"538","chr1",19209250,19211475,265,315,255,933,277
"539","chr1",19229064,19229939,85,100,114,180,75
"540","chr1",19231625,19233613,306,233,472,571,271
"541","chr1",19251211,19251795,288,277,207,397,242
"542","chr1",19311901,19313342,151,131,136,354,124
